Subj,Days,Session
D_EMO,0,1
D_EMO,7,2
D_EMO,14,3
D_HTY,0,1
D_HTY,14,2
D_HTY,69,3
D_KIF,0,1
D_KIF,7,2
D_KIF,14,3
D_KUR,0,1
D_KUR,7,2
D_KUR,14,3
D_OAC,0,1
D_OAC,7,2
D_OAC,14,3
D_PEU,0,1
D_PEU,7,2
D_PEU,21,3
D_PYL,0,1
D_PYL,7,2
D_PYL,14,3
D_RTA,0,1
D_RTA,14,2
D_RTA,21,3
D_TPE,0,1
D_TPE,7,2
D_TPE,14,3
D_TSU,0,1
D_TSU,4,2
D_TSU,14,3
D_VAZ,0,1
D_VAZ,14,2
D_VAZ,28,3
P_BWR,0,1
P_BWR,14,2
P_DQF,0,1
P_DQF,7,2
P_DQF,14,3
P_FDC,0,1
P_FDC,7,2
P_FDC,14,3
P_GLA,0,1
P_GLA,7,2
P_GLA,14,3
P_HGO,0,1
P_HGO,7,2
P_HGO,14,3
P_LFJ,0,1
P_LFJ,7,2
P_LFJ,14,3
P_VTE,0,1
P_VTE,7,2
P_VTE,18,3
P_WSB,0,1
P_WSB,7,2
P_WSB,14,3
P_XZO,0,1
P_XZO,7,2
P_XZO,14,3
P_ZHD,0,1
P_ZHD,7,2
P_ZHD,14,3
